Structure,Cohen_d,hemisphere,NAVR,NAVR_corrected,correction,population_size,Cohen_d_thresholded
L_bankssts,-0.21,lh,0.1677499689699687,0.0141021142412646,0.0840662703418397,566,-0.21
L_caudalanteriorcingulate,-0.1,lh,0.218059913852788,0.0183314836686667,0.0840662703418397,566,-0.1
L_caudalmiddlefrontal,-0.27,lh,0.1754537886883238,0.0147497456323726,0.0840662703418397,566,-0.27
L_cuneus,-0.06,lh,0.2156188068256477,0.0181262689053898,0.0840662703418397,566,-0.06
L_entorhinal,-0.04,lh,0.3470851322603475,0.0291781525602315,0.0840662703418397,566,-0.04
L_fusiform,-0.29,lh,0.2208815572798723,0.0185686887078163,0.0840662703418397,566,-0.29
L_inferiorparietal,-0.27,lh,0.1391924238955952,0.011701387936743,0.0840662703418397,566,-0.27
L_inferiortemporal,-0.25,lh,0.1933617196161122,0.0162551985950111,0.0840662703418397,566,-0.25
L_isthmuscingulate,-0.13,lh,0.2217328411887773,0.0186402529710399,0.0840662703418397,566,-0.13
L_lateraloccipital,-0.16,lh,0.150791017775439,0.0126764384654312,0.0840662703418397,566,-0.16
L_lateralorbitofrontal,-0.22,lh,0.2366271707244036,0.0198923637043423,0.0840662703418397,566,-0.22
L_lingual,-0.21,lh,0.2512365800286637,0.0211205222564488,0.0840662703418397,566,-0.21
L_medialorbitofrontal,-0.2,lh,0.2975518992888137,0.0250140784063412,0.0840662703418397,566,-0.2
L_middletemporal,-0.25,lh,0.1657611287649302,0.0139349198629211,0.0840662703418397,566,-0.25
L_parahippocampal,-0.02,lh,0.1422978600733205,0.011962450373989,0.0840662703418397,566,-0.02
L_paracentral,-0.14,lh,0.2092279907162433,0.0175890168306316,0.0840662703418397,566,-0.14
L_parsopercularis,-0.29,lh,0.1716496166533328,0.0144299430776522,0.0840662703418397,566,-0.29
L_parsorbitalis,-0.25,lh,0.2587111955052084,0.0217488853018013,0.0840662703418397,566,-0.25
L_parstriangularis,-0.27,lh,0.1949399530679564,0.0163878747950363,0.0840662703418397,566,-0.27
L_pericalcarine,0.02,lh,0.2585784996498571,0.0217377300561521,0.0840662703418397,566,
L_postcentral,-0.1,lh,0.199377733290489,0.0167609424269414,0.0840662703418397,566,-0.1
L_posteriorcingulate,-0.11,lh,0.2106677030334901,0.0177100480755077,0.0840662703418397,566,-0.11
L_precentral,-0.21,lh,0.1935317282877348,0.0162694905899601,0.0840662703418397,566,-0.21
L_precuneus,-0.21,lh,0.126809392921902,0.0106603927072571,0.0840662703418397,566,-0.21
L_rostralanteriorcingulate,-0.15,lh,0.2847491307873482,0.023937797408373,0.0840662703418397,566,-0.15
L_rostralmiddlefrontal,-0.28,lh,0.1904773538965046,0.0160127207266618,0.0840662703418397,566,-0.28
L_superiorfrontal,-0.23,lh,0.1328707621220815,0.0111699494090811,0.0840662703418397,566,-0.23
L_superiorparietal,-0.16,lh,0.1100478085145132,0.009251308821108,0.0840662703418397,566,-0.16
L_superiortemporal,-0.21,lh,0.1265950172830762,0.0106423709468489,0.0840662703418397,566,-0.21
L_supramarginal,-0.25,lh,0.1404931953924528,0.0118107389450508,0.0840662703418397,566,-0.25
L_frontalpole,-0.12,lh,0.3411370206396308,0.0286781170007009,0.0840662703418397,566,-0.12
L_temporalpole,-0.12,lh,0.3659236503865297,0.0307618365178668,0.0840662703418397,566,-0.12
L_transversetemporal,-0.12,lh,0.1963435664784497,0.0165058713394583,0.0840662703418397,566,-0.12
L_insula,-0.2,lh,0.2979220600227138,0.0250451964386672,0.0840662703418397,566,-0.2
R_bankssts,-0.13,rh,0.1536287554440104,0.0129149964874365,0.0840662703418397,566,-0.13
R_caudalanteriorcingulate,-0.06,rh,0.2350681400014791,0.0197613018061177,0.0840662703418397,566,-0.06
R_caudalmiddlefrontal,-0.21,rh,0.1702107887215876,0.0143089861797667,0.0840662703418397,566,-0.21
R_cuneus,-0.03,rh,0.2122877463903903,0.0178462390783144,0.0840662703418397,566,-0.03
R_entorhinal,-0.08,rh,0.3352514800022718,0.0281833415503728,0.0840662703418397,566,-0.08
R_fusiform,-0.27,rh,0.2034839228323567,0.0171061344670429,0.0840662703418397,566,-0.27
R_inferiorparietal,-0.26,rh,0.1405377550286479,0.0118144849074735,0.0840662703418397,566,-0.26
R_inferiortemporal,-0.19,rh,0.1805068050042792,0.0151745338680314,0.0840662703418397,566,-0.19
R_isthmuscingulate,-0.18,rh,0.2190895128698919,0.0184180382179823,0.0840662703418397,566,-0.18
R_lateraloccipital,-0.22,rh,0.1527599967767905,0.0128419631864562,0.0840662703418397,566,-0.22
R_lateralorbitofrontal,-0.21,rh,0.295510157032316,0.0248424367498381,0.0840662703418397,566,-0.21
R_lingual,-0.2,rh,0.2618941957956546,0.0220164682647162,0.0840662703418397,566,-0.2
R_medialorbitofrontal,-0.23,rh,0.2375504326145587,0.0199699788879964,0.0840662703418397,566,-0.23
R_middletemporal,-0.22,rh,0.1423913317327906,0.0119703081877833,0.0840662703418397,566,-0.22
R_parahippocampal,-0.09,rh,0.1480602523901322,0.0124468732043098,0.0840662703418397,566,-0.09
R_paracentral,-0.14,rh,0.1977158503219996,0.0166212341240359,0.0840662703418397,566,-0.14
R_parsopercularis,-0.25,rh,0.1847184268977523,0.0155285892127058,0.0840662703418397,566,-0.25
R_parsorbitalis,-0.24,rh,0.2586197940884171,0.0217412015255877,0.0840662703418397,566,-0.24
R_parstriangularis,-0.23,rh,0.2358975534310017,0.0198310274997091,0.0840662703418397,566,-0.23
R_pericalcarine,0.02,rh,0.2830759246000826,0.0237971372046967,0.0840662703418397,566,
R_postcentral,-0.08,rh,0.1921778600495427,0.0161556759366411,0.0840662703418397,566,-0.08
R_posteriorcingulate,-0.17,rh,0.2301949813449113,0.019351633533076,0.0840662703418397,566,-0.17
R_precentral,-0.18,rh,0.2035026362683715,0.017107707635814,0.0840662703418397,566,-0.18
R_precuneus,-0.19,rh,0.1371260823850131,0.0115276783126959,0.0840662703418397,566,-0.19
R_rostralanteriorcingulate,-0.09,rh,0.2610519448956334,0.0219456633728593,0.0840662703418397,566,-0.09
R_rostralmiddlefrontal,-0.26,rh,0.1926313119233477,0.0161937959444514,0.0840662703418397,566,-0.26
R_superiorfrontal,-0.26,rh,0.1430466106927704,0.0120253950459823,0.0840662703418397,566,-0.26
R_superiorparietal,-0.16,rh,0.108187091624542,0.0090948852920061,0.0840662703418397,566,-0.16
R_superiortemporal,-0.19,rh,0.1133765729852085,0.0095311456350058,0.0840662703418397,566,-0.19
R_supramarginal,-0.18,rh,0.1353690065971711,0.011379967504504,0.0840662703418397,566,-0.18
R_frontalpole,-0.1,rh,0.3307414511871543,0.0278042002487517,0.0840662703418397,566,-0.1
R_temporalpole,-0.06,rh,0.3197440255988185,0.0268796876961784,0.0840662703418397,566,-0.06
R_transversetemporal,-0.11,rh,0.1937168517109299,0.0162850532257011,0.0840662703418397,566,-0.11
R_insula,-0.17,rh,0.3165856631519613,0.0266141759448833,0.0840662703418397,566,-0.17
